Code_x;Parent_x;NUTS-Code_x;Description_x;Code_y;Parent_y;NUTS-Code_y;Description_y
14810;14500.0;RO3;Macroregiunea Trei;14820;14810.0;RO31;Sud-Muntenia
14810;14500.0;RO3;Macroregiunea Trei;14900;14810.0;RO32;Bucureşti-Ilfov
14930;14500.0;RO4;Macroregiunea Patru;14940;14930.0;RO41;Sud-Vest Oltenia
14930;14500.0;RO4;Macroregiunea Patru;15000;14930.0;RO42;Vest
15050;14500.0;ROZ;Extra-Regio NUTS 1;15060;15050.0;ROZZ;Extra-Regio NUTS 2
15090;15080.0;SI0;Slovenija;15100;15090.0;SI03;Vzhodna Slovenija
15090;15080.0;SI0;Slovenija;15190;15090.0;SI04;Zahodna Slovenija
15240;15080.0;SIZ;Extra-Regio NUTS 1;15250;15240.0;SIZZ;Extra-Regio NUTS 2
15280;15270.0;SK0;Slovensko;15290;15280.0;SK01;Bratislavský kraj
15280;15270.0;SK0;Slovensko;15310;15280.0;SK02;Západné Slovensko
15280;15270.0;SK0;Slovensko;15350;15280.0;SK03;Stredné Slovensko
15280;15270.0;SK0;Slovensko;15380;15280.0;SK04;Východné Slovensko
15410;15270.0;SKZ;Extra-Regio NUTS 1;15420;15410.0;SKZZ;Extra-Regio NUTS 2
15450;15440.0;FI1;Manner-Suomi;15460;15450.0;FI19;Länsi-Suomi
15450;15440.0;FI1;Manner-Suomi;15520;15450.0;FI1B;Helsinki-Uusimaa
15450;15440.0;FI1;Manner-Suomi;15540;15450.0;FI1C;Etelä-Suomi
15450;15440.0;FI1;Manner-Suomi;15600;15450.0;FI1D;Pohjois- ja Itä-Suomi
15680;15440.0;FI2;Åland;15690;15680.0;FI20;Åland
15710;15440.0;FIZ;Extra-Regio NUTS 1;15720;15710.0;FIZZ;Extra-Regio NUTS 2
15750;15740.0;SE1;Östra Sverige;15760;15750.0;SE11;Stockholm
15750;15740.0;SE1;Östra Sverige;15780;15750.0;SE12;Östra Mellansverige
15840;15740.0;SE2;Södra Sverige;15850;15840.0;SE21;Småland med öarna
15840;15740.0;SE2;Södra Sverige;15900;15840.0;SE22;Sydsverige
15840;15740.0;SE2;Södra Sverige;15930;15840.0;SE23;Västsverige
15960;15740.0;SE3;Norra Sverige;15970;15960.0;SE31;Norra Mellansverige
15960;15740.0;SE3;Norra Sverige;16010;15960.0;SE32;Mellersta Norrland
15960;15740.0;SE3;Norra Sverige;16040;15960.0;SE33;Övre Norrland
16070;15740.0;SEZ;Extra-Regio NUTS 1;16080;16070.0;SEZZ;Extra-Regio NUTS 2
16110;16100.0;UKC;North East (England);16120;16110.0;UKC1;Tees Valley and Durham
